limite,rmspe,quantidade_especialista,fracao_especialista
219000.0,0.20903311573500558,167,0.03569901667379222
217000.0,0.20905890625359166,166,0.03548525010688328
219900.0,0.2090614545218946,168,0.03591278324070116
215000.0,0.20907836186917383,164,0.035057716973065416
210000.0,0.20913166759072485,157,0.033561351004702866
425000.0,0.2093178261748962,1791,0.3828559213339034
420000.0,0.2093719998327382,1784,0.38135955536554084
420270.0,0.20938317096329928,1785,0.38157332193244975
421622.0,0.20939236828161395,1786,0.3817870884993587
422000.0,0.2093992757805014,1787,0.38200085506626763
206000.0,0.20940958240304858,141,0.030141085934159897
207000.0,0.20940958430463721,142,0.030354852501068834
205000.0,0.20941128468365225,140,0.029927319367250963
209000.0,0.20941132787654076,143,0.030568619067977768
200000.0,0.20950596594977003,135,0.028858486532706284
430000.0,0.20963978841099334,1836,0.39247541684480547
431124.0,0.2096502471180607,1837,0.3926891834117144
432000.0,0.209657938674674,1838,0.39290294997862335
433000.0,0.2096988392497214,1840,0.39333048311244123
434000.0,0.20973561825252374,1844,0.39418554938007694
434029.0,0.20974663217926315,1845,0.3943993159469859
434100.0,0.2097622547626414,1846,0.3946130825138948
435000.0,0.2098047544135826,1850,0.3954681487815306
435395.0,0.20981622852065304,1851,0.3956819153484395
437940.0,0.2098440489790129,1853,0.3961094484822574
438000.0,0.2099018815604683,1855,0.39653698161607526
439000.0,0.21007052932157497,1860,0.39760581445061993
439770.0,0.21008635570983716,1861,0.39781958101752884
199000.0,0.210095851495854,110,0.0235143223599829
197000.0,0.21010226636510768,107,0.022873022659256094
196000.0,0.21011186495629824,105,0.02244548952543822
196840.0,0.21011621527132643,106,0.022659256092347157
195000.0,0.21014989760409697,104,0.022231722958529286
193000.0,0.21022201719625813,96,0.020521590423257803
190000.0,0.2102349379395599,95,0.020307823856348866
440000.0,0.2102936547078612,1890,0.404018811457888
440388.0,0.21034828524274993,1891,0.4042325780247969
445000.0,0.21037741645567495,1899,0.4059427105600684
441000.0,0.21038446693596785,1893,0.4046601111586148
189000.0,0.21044290392808718,84,0.01795639162035058
447000.0,0.2104594928389308,1900,0.40615647712697733
448000.0,0.21047074895027404,1901,0.4063702436938863
185000.0,0.21060919902349692,82,0.017528858486532708
180000.0,0.210684168122757,74,0.01581872595126122
177000.0,0.21135803811902198,60,0.012825994014536126
175000.0,0.21137709576377953,59,0.01261222744762719
450000.0,0.21158846839136933,1994,0.42625053441641725
451473.0,0.21163899542497647,1995,0.4264643009833262
451474.0,0.21165524084244394,1996,0.42667806755023513
452000.0,0.2116658352759473,1997,0.4268918341171441
173000.0,0.21168103366448632,55,0.01175716117999145
452727.0,0.21168872264124092,1998,0.427105600684053
453600.0,0.21172352186290605,2000,0.4275331338178709
454231.0,0.21173631158672013,2001,0.4277469003847798
170000.0,0.2117900142974643,53,0.011329628046173578
455000.0,0.21186222027614857,2010,0.42967079948696024
456000.0,0.2119410328993763,2014,0.430525865754596
168000.0,0.21195682119783318,44,0.00940572894399316
169000.0,0.21197382077563504,45,0.009619495510902095
165000.0,0.21198462572573978,42,0.00897819581017529
162645.0,0.21199805730669938,41,0.008764429243266354
457000.0,0.212017570257352,2017,0.4311671654553228
457713.0,0.21204582194935737,2019,0.4315946985891407
