nome,familia,limite_preco,quantidade,rmspe_bruto,rmspe_calibrado_cf
xgb_raw_sub950_rmspe,xgb,950000,947,0.20731054140923985,0.20580678599050137
xgb_raw_sub950_rmspe,xgb,1000000,852,0.20282913807256497,0.20530472823074936
xgb_raw_sub950_rmspe,xgb,1300000,516,0.2295765787596733,0.23944510429252527
xgb_raw_sub950_rmspe,xgb,1500000,370,0.23407065398033308,0.24828572241156152
xgb_raw_sub950_rmspe,xgb,2000000,194,0.2480088045526277,0.264552952721356
lgb_raw_sub950_rmspe,lgb,600000,1913,0.4077945654659322,0.3750298353030004
lgb_raw_sub950_rmspe,lgb,740000,1413,0.277291356682999,0.2575746601095094
lgb_raw_sub950_rmspe,lgb,830000,1174,0.23505971191180902,0.22398644105934615
lgb_raw_sub950_rmspe,lgb,950000,947,0.21283107579455984,0.2111810204352006
lgb_raw_sub950_rmspe,lgb,1000000,852,0.20999723964293793,0.21222215683159304
lgb_raw_sub950_rmspe,lgb,1300000,516,0.2366570666253754,0.24600356756294753
lgb_raw_sub950_rmspe,lgb,1500000,370,0.24470390929569366,0.25839958038898053
lgb_raw_sub950_rmspe,lgb,2000000,194,0.2591939205734078,0.2757248624261324
blend50_raw_sub950_rmspe,blend50,600000,1913,0.4071207426834789,0.3749119298446424
blend50_raw_sub950_rmspe,blend50,740000,1413,0.2749845367485093,0.2556369656916506
blend50_raw_sub950_rmspe,blend50,830000,1174,0.23112286408943294,0.22026810741963251
blend50_raw_sub950_rmspe,blend50,950000,947,0.2079833571283173,0.20651016124822327
blend50_raw_sub950_rmspe,blend50,1000000,852,0.2042943702399254,0.20669575468977916
blend50_raw_sub950_rmspe,blend50,1300000,516,0.23134829652909844,0.24087482030293988
blend50_raw_sub950_rmspe,blend50,1500000,370,0.2377838187936501,0.2515756498135902
blend50_raw_sub950_rmspe,blend50,2000000,194,0.2518489152478376,0.2681939430970784
cat_log_all_b000,cat,600000,1913,0.24510978858979635,0.24741844041790098
cat_log_all_b000,cat,740000,1413,0.24588494076248787,0.2478801481734687
cat_log_all_b000,cat,830000,1174,0.24831114560587114,0.24997554296059546
cat_log_all_b000,cat,950000,947,0.25130926515664875,0.2527081886926274
cat_log_all_b000,cat,1000000,852,0.254156511546227,0.25505487616801625
cat_log_all_b000,cat,1300000,516,0.27428111007087974,0.2746866431263217
cat_log_all_b000,cat,1500000,370,0.28234524364555924,0.2815738470381598
cat_log_all_b000,cat,2000000,194,0.28336174819782545,0.28164172651129077
cat_log_all_b050,cat,600000,1913,0.25552057557517827,0.25162435370702
cat_log_all_b050,cat,740000,1413,0.2522490940680253,0.24944455469155125
cat_log_all_b050,cat,830000,1174,0.2527254880541374,0.25101867791370863
cat_log_all_b050,cat,950000,947,0.2536727332160666,0.2540810711558504
cat_log_all_b050,cat,1000000,852,0.2544134341157439,0.25617650534950226
cat_log_all_b050,cat,1300000,516,0.2722906542438509,0.27691283093202596
cat_log_all_b050,cat,1500000,370,0.27076727983888427,0.27858138586994613
cat_log_all_b050,cat,2000000,194,0.2672287390411521,0.2769009179894886
cat_log_all_b100,cat,600000,1913,0.26676589929635663,0.25393790880707784
cat_log_all_b100,cat,740000,1413,0.2624674068122043,0.2517110966216621
cat_log_all_b100,cat,830000,1174,0.2611317770416517,0.25273301145680194
cat_log_all_b100,cat,950000,947,0.2603369904276579,0.25590298842120285
cat_log_all_b100,cat,1000000,852,0.2597366311168055,0.2584635684739179
cat_log_all_b100,cat,1300000,516,0.26937347044420923,0.27499654215281394
cat_log_all_b100,cat,1500000,370,0.25959151867574964,0.2736175370566298
cat_log_all_b100,cat,2000000,194,0.25312488652783993,0.27124593767322425
cat_log_all_b150,cat,600000,1913,0.2847910319060427,0.2584284427176892
cat_log_all_b150,cat,740000,1413,0.2774116391737993,0.2537118145435912
cat_log_all_b150,cat,830000,1174,0.2736350674312243,0.25365694227192137
cat_log_all_b150,cat,950000,947,0.269711334209528,0.25575626298976223
cat_log_all_b150,cat,1000000,852,0.26576076484736205,0.25755916992780586
cat_log_all_b150,cat,1300000,516,0.2703569895278763,0.27427203087073754
cat_log_all_b150,cat,1500000,370,0.25198186106387566,0.2710055506348975
cat_log_all_b150,cat,2000000,194,0.247817314533736,0.27355018395369246
cat_log_sub830,cat,600000,1913,0.3276773428660184,0.2985548627570658
cat_log_sub830,cat,740000,1413,0.24761394886895238,0.2315019125795211
cat_log_sub830,cat,830000,1174,0.2274495939871347,0.21855994070248555
cat_log_sub830,cat,950000,947,0.2216041181364482,0.21947856551443043
cat_log_sub830,cat,1000000,852,0.22309537570459598,0.22380864580021975
cat_log_sub830,cat,1300000,516,0.2485866764113114,0.2560872384841537
cat_log_sub830,cat,1500000,370,0.24808265880832436,0.26091231063967074
cat_log_sub830,cat,2000000,194,0.25852232159082755,0.27360326827679693
cat_log_sub950,cat,600000,1913,0.4351638452365477,0.36168677945586336
cat_log_sub950,cat,740000,1413,0.3035503826171442,0.2559582921498192
cat_log_sub950,cat,830000,1174,0.2576723294680962,0.2270417483481281
cat_log_sub950,cat,950000,947,0.23021935795328966,0.21840236528130297
cat_log_sub950,cat,1000000,852,0.22510898829430068,0.22108356187255138
cat_log_sub950,cat,1300000,516,0.24136706033837824,0.256128767291396
cat_log_sub950,cat,1500000,370,0.2356740988433292,0.2635401279174389
cat_log_sub950,cat,2000000,194,0.25269742471255946,0.2846301240037792
